代码,TS代码,板块,简称,最新价,流通市值_亿,总市值_亿,PE_TTM,扣非PE,PB,PS_TTM,股息率_%,52周高点,距52周高点跌幅_%,已在Watchlist
603166,603166.SH,沪,福达股份,10.97,70.29,70.83,21.6873,23.9619,2.7172,3.5051,1.8,21.69,49.42,否
603173,603173.SH,沪,福斯达,31.46,50.34,50.34,12.6454,13.0806,2.5845,1.6679,2.58,55.28,43.09,否
603181,603181.SH,沪,皇马科技,12.67,74.59,74.59,16.5751,17.7816,2.0645,2.9504,1.76,20.88,39.32,否
603194,603194.SH,沪,中力股份,33.27,52.58,133.41,15.7108,16.2527,2.4897,1.7904,1.95,46.88,29.03,否
603198,603198.SH,沪,迎驾贡酒,38.97,311.76,311.76,15.6529,16.2947,3.0357,5.0274,3.85,47.27,17.56,否
603217,603217.SH,沪,元利科技,26.5,55.14,55.14,26.6084,27.6379,1.6217,2.4737,1.13,33.24,20.28,否
603218,603218.SH,沪,日月股份,9.64,99.19,99.28,19.1857,20.1787,0.9884,1.6282,3.9,17.09,43.59,否
603223,603223.SH,沪,恒通股份,10.46,73.83,73.83,23.3034,23.1258,1.8282,5.3311,1.1,15.35,31.86,否
603225,603225.SH,沪,新凤鸣,19.02,317.36,319.06,29.5557,27.9392,1.5412,0.4281,1.04,22.98,17.23,否
603227,603227.SH,沪,雪峰科技,7.65,81.98,81.98,15.6273,16.4746,1.5545,1.5121,1.96,10.75,28.84,否
603233,603233.SH,沪,大参林,17.66,201.12,201.12,15.6346,15.7216,2.8221,0.7308,4.67,21.78,18.92,否
603235,603235.SH,沪,天新药业,22.9,100.25,100.25,19.2786,20.9323,2.0781,4.2374,2.39,30.02,23.72,否
603236,603236.SH,沪,移远通信,58.01,235.15,235.15,24.2866,25.0413,3.1938,0.8386,1.28,113.04,48.68,否
603277,603277.SH,沪,银都股份,12.5,76.22,76.46,23.285,21.603,2.8997,2.7885,5.62,20.11,37.84,否
603279,603279.SH,沪,景津装备,12.47,71.87,71.87,15.0622,15.2523,1.6083,1.246,6.42,21.73,42.61,否
603281,603281.SH,沪,江瀚新材,19.33,100.25,100.25,25.9747,27.1111,2.1747,4.9995,3.62,43.86,55.93,否
603296,603296.SH,沪,华勤技术,78.24,624.82,1186.28,27.7629,35.8921,4.657,0.6695,1.1,126.69,38.24,否
603298,603298.SH,沪,杭叉集团,25.9,339.24,339.24,15.2352,15.525,2.9467,1.8692,2.32,31.43,17.59,否
