二筛排名,代码,TS代码,板块,简称,二筛总分,评级档,异常惩罚,PE_TTM,扣非PE,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,FCF净利润转化率,股数3年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,经营现金流_原始值
583,002202,002202.SZ,深,金风科技,16.8,C-暂缓,18.0,26.0349,27.2274,48.18,5.35,0.4,否,经营现金流3Y为负；FCF/NI<70%,16.29,7.47,-15.54,10.02,19.67,14.18,4.14,6.9,1.88,71.66,2.5286,4.38,-1.2553,0.0,28.79,62.93,3543478540
584,688036,688036.SH,科,传音控股,16.6,C-暂缓,32.0,21.1859,26.0497,44.89,11.66,-0.55,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,12.07,1.84,-10.48,42.51,13.53,19.15,3.97,12.71,5.83,53.48,1.1496,43.22,0.1696,12.71,-4.55,-53.46,1420209653
585,002537,002537.SZ,深,海联金汇,16.1,C-暂缓,20.0,22.409,35.6348,51.02,1.71,7.15,否,增速异常；应收增速>营收,-4.25,48.34,86.24,8.8,-6.97,15.69,4.34,7.15,3.43,51.71,1.0708,8.91,1.6269,0.0,-8.05,762.31,652185495
586,603045,603045.SH,沪,福达合金,16.1,C-暂缓,20.0,26.3483,26.6397,39.78,16.93,19.21,否,增速异常；FCF/NI<70%,31.96,52.9,nan,38.88,18.95,9.12,2.11,10.39,3.77,65.8,1.924,2.89,-3.3048,-0.53,30.85,133.21,-296292341
587,000878,000878.SZ,深,云南铜业,16.0,C-暂缓,16.0,28.3724,37.1881,43.74,15.27,18.06,否,应收增速>营收；FCF/NI<70%,9.99,-11.11,nan,23.42,33.87,3.16,1.04,9.56,3.58,66.55,1.9895,4.26,-2.8692,0.0,0.86,-2.65,-3766163442
588,603225,603225.SH,沪,新凤鸣,15.9,C-暂缓,16.0,29.5557,27.9392,17.23,14.11,11.08,否,应收增速>营收；FCF/NI<70%,12.11,nan,13.98,22.95,16.43,5.31,1.43,5.76,1.85,68.26,2.1506,2.32,-2.5459,-0.11,6.66,-7.33,4717003471
589,600894,600894.SH,沪,广日股份,15.7,C-暂缓,16.0,9.2297,9.9495,30.8,1.36,0.26,否,应收增速>营收；FCF/NI<70%,0.85,12.88,2.52,17.96,-4.92,15.57,9.96,7.78,4.84,38.43,0.6242,146.3,0.2121,-0.32,-0.2,-9.23,350669162
590,688525,688525.SH,科,佰维存储,15.7,C-暂缓,33.0,28.5316,29.5194,53.78,47.09,98.26,否,增速异常；利润增速显著快于营收；FCF/NI<70%；股数膨胀>2%,55.85,127.53,nan,44.32,59.09,21.44,7.42,21.12,7.14,64.47,1.8145,6.51,-4.155,2.64,68.82,520.25,-1965464753
591,600104,600104.SH,沪,上汽集团,15.6,C-暂缓,20.0,11.531,15.8613,50.85,-2.43,-9.78,否,增速异常；应收增速>营收,-4.1,-8.6,53.4,9.26,-3.47,10.09,2.66,4.93,1.82,62.37,1.6575,7.42,0.8378,-0.54,4.57,199.04,34306601906
592,600388,600388.SH,沪,紫金龙净,15.5,C-暂缓,22.0,18.4009,19.5727,16.01,3.12,9.29,否,应收增速>营收；FCF/NI<70%；股数膨胀>2%,-0.02,11.06,24.69,10.31,-13.51,25.17,9.33,10.32,4.02,60.65,1.5413,12.71,0.4408,5.83,18.49,34.67,1618033813
593,600927,600927.SH,沪,永安期货,15.3,C-暂缓,15.0,22.3334,22.3088,24.06,-40.81,-10.67,否,利润增速显著快于营收；FCF/NI<70%,-62.39,-1.04,nan,nan,nan,,35.22,5.0,0.86,84.01,5.2539,100.0,-7.7222,0.0,-91.49,13.34,-4988097532
594,000543,000543.SZ,深,皖能电力,15.2,C-暂缓,16.0,7.7925,8.0087,26.76,10.26,19.29,否,应收增速>营收；FCF/NI<70%,4.0,160.36,23.4,20.08,7.17,16.27,11.75,12.97,4.69,62.72,1.6824,5.67,0.6701,0.0,-9.26,7.2,5390412752
595,000933,000933.SZ,深,神火股份,15.2,C-暂缓,25.0,8.4244,8.4635,34.7,17.0,78.5,否,利润增速显著快于营收；应收增速>营收；经营现金流3Y为负,-1.16,-18.97,-14.65,15.7,8.28,23.36,11.07,16.82,9.18,42.19,0.7298,20.9,1.7485,-0.03,7.47,-4.89,8743217688
596,002541,002541.SZ,深,鸿路钢构,15.1,C-暂缓,16.0,21.6826,30.3168,20.08,10.41,-4.66,否,应收增速>营收；FCF/NI<70%,3.6,-18.49,29.94,12.38,10.84,9.85,2.85,6.43,2.36,64.38,1.8074,3.27,0.1701,0.0,2.57,-18.48,1365746505
